Z,PDF,CDF
-1.55,0.120,0.061
-1.54,0.122,0.062
-1.53,0.124,0.063
-1.52,0.126,0.064
-1.51,0.128,0.066
-1.50,0.130,0.067
-1.49,0.132,0.068
-1.48,0.133,0.069
-1.47,0.135,0.071
-1.46,0.137,0.072
-1.45,0.139,0.074
-1.44,0.142,0.075
-1.43,0.144,0.076
-1.42,0.146,0.078
-1.41,0.148,0.079
-1.40,0.150,0.081
-1.39,0.152,0.082
-1.38,0.154,0.084
-1.37,0.156,0.085
-1.36,0.158,0.087
-1.35,0.160,0.089
-1.34,0.163,0.090
-1.33,0.165,0.092
-1.32,0.167,0.093
-1.31,0.169,0.095
-1.30,0.171,0.097
-1.29,0.174,0.099
-1.28,0.176,0.100
-1.27,0.178,0.102
-1.26,0.180,0.104
-1.25,0.183,0.106
-1.24,0.185,0.108
-1.23,0.187,0.109
-1.22,0.190,0.111
-1.21,0.192,0.113
-1.20,0.194,0.115
-1.19,0.197,0.117
-1.18,0.199,0.119
-1.17,0.201,0.121
-1.16,0.204,0.123
-1.15,0.206,0.125
-1.14,0.208,0.127
-1.13,0.211,0.129
-1.12,0.213,0.131
-1.11,0.216,0.134
-1.10,0.218,0.136
-1.09,0.220,0.138
-1.08,0.223,0.140
-1.07,0.225,0.142
-1.06,0.228,0.145
-1.05,0.230,0.147
-1.04,0.232,0.149
-1.03,0.235,0.152
-1.02,0.237,0.154
-1.01,0.240,0.156
-1.00,0.242,0.159
-0.99,0.244,0.161
-0.98,0.247,0.164
-0.97,0.249,0.166
-0.96,0.252,0.169
-0.95,0.254,0.171
-0.94,0.257,0.174
-0.93,0.259,0.176
-0.92,0.261,0.179
-0.91,0.264,0.181
-0.90,0.266,0.184
-0.89,0.269,0.187
-0.88,0.271,0.189
-0.87,0.273,0.192
-0.86,0.276,0.195
-0.85,0.278,0.198
-0.84,0.280,0.201
-0.83,0.283,0.203
-0.82,0.285,0.206
-0.81,0.287,0.209
-0.80,0.290,0.212
-0.79,0.292,0.215
-0.78,0.294,0.218
-0.77,0.297,0.221
-0.76,0.299,0.224
-0.75,0.301,0.227
-0.74,0.303,0.230
-0.73,0.306,0.233
-0.72,0.308,0.236
-0.71,0.310,0.239
-0.70,0.312,0.242
